Format Version,1.23,Take Name,Fifty_030_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.00.40.836 ,Total Frames in Take,1592,Total Exported Frames,1592,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"FB4D0","FB4D0","FB4D0","FB530","FB530","FB530","FB120","FB120","FB120","FB3A0","FB3A0","FB3A0","FB020","FB020","FB020","FB080","FB080","FB080","FB690","FB690","FB690","FACB0","FACB0","FACB0","FB580","FB580","FB580"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.080577,0.838972,-0.298806,-0.230240,0.804186,-0.338759,-0.078310,0.799849,-0.260196,-0.280937,0.822001,-0.107069,-0.455072,0.704307,-0.115092,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097402,0.836617,-0.041431,-0.087430,0.834139,-0.164782
1,0.010000,-0.080633,0.838970,-0.298782,-0.230174,0.804164,-0.338755,-0.078477,0.799922,-0.260145,-0.281168,0.821986,-0.107088,-0.455446,0.704595,-0.115119,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097336,0.836635,-0.041461,-0.087288,0.834109,-0.164715
2,0.020000,-0.080636,0.838931,-0.298796,-0.230174,0.804164,-0.338755,-0.078479,0.799919,-0.260182,-0.281171,0.821995,-0.107076,-0.455072,0.704307,-0.115092,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097402,0.836617,-0.041431,-0.087213,0.834079,-0.164690
3,0.030000,-0.080697,0.838956,-0.298787,-0.230174,0.804164,-0.338755,-0.078479,0.799919,-0.260182,-0.281065,0.821946,-0.107067,-0.455266,0.704452,-0.115080,-0.364742,0.773756,-0.148539,0.163954,0.866123,-0.221663,-0.097394,0.836577,-0.041459,-0.087271,0.834105,-0.164744
4,0.040000,-0.080448,0.838953,-0.298792,-0.230174,0.804164,-0.338755,-0.078479,0.799919,-0.260182,-0.281168,0.821986,-0.107088,-0.455446,0.704595,-0.115119,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097392,0.836603,-0.041447,-0.087305,0.834090,-0.164745
5,0.050000,-0.080577,0.838972,-0.298806,-0.230240,0.804186,-0.338759,-0.078479,0.799919,-0.260182,-0.281081,0.821959,-0.107057,-0.455446,0.704595,-0.115119,-0.364742,0.773756,-0.148539,0.163954,0.866123,-0.221663,-0.097339,0.836601,-0.041437,-0.087213,0.834079,-0.164690
