Format Version,1.23,Take Name,H_long_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 04.17.16.416 ,Total Frames in Take,1575,Total Exported Frames,1575,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10E200","10E200","10E200","10E260","10E260","10E260","10DFA0","10DFA0","10DFA0","10DAE0","10DAE0","10DAE0","10E100","10E100","10E100","10E1F0","10E1F0","10E1F0","10E2F0","10E2F0","10E2F0","10E000","10E000","10E000","10E240","10E240","10E240"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.079136,0.795967,-0.326464,-0.142901,0.655709,-0.363866,-0.042833,0.776867,-0.286753,-0.193772,0.632632,-0.132954,-0.202089,0.423861,-0.134640,-0.203521,0.536662,-0.171624,0.172744,0.841099,-0.241905,-0.095842,0.787280,-0.081975,-0.071010,0.780433,-0.206173
1,0.010000,-0.079222,0.795987,-0.326461,-0.142901,0.655709,-0.363866,-0.042689,0.776855,-0.286769,-0.193728,0.632606,-0.132949,-0.202188,0.423848,-0.134621,-0.203396,0.536582,-0.171648,0.172481,0.841083,-0.241975,-0.095531,0.787071,-0.082053,-0.071049,0.780251,-0.206252
2,0.020000,-0.079179,0.795983,-0.326445,-0.142866,0.655694,-0.363886,-0.042882,0.776910,-0.286724,-0.193698,0.632593,-0.132963,-0.202089,0.423861,-0.134640,-0.203429,0.536573,-0.171631,0.172481,0.841083,-0.241975,-0.095412,0.786988,-0.082124,-0.071255,0.780116,-0.206331
3,0.030000,-0.079237,0.795979,-0.326429,-0.142923,0.655719,-0.363845,-0.042809,0.776869,-0.286734,-0.193698,0.632593,-0.132963,-0.202191,0.423857,-0.134637,-0.203398,0.536583,-0.171678,0.172243,0.841013,-0.242048,-0.095419,0.786980,-0.082213,-0.071268,0.780121,-0.206392
4,0.040000,-0.079136,0.795967,-0.326464,-0.142923,0.655719,-0.363845,-0.042979,0.776865,-0.286749,-0.193807,0.632652,-0.132972,-0.202121,0.423856,-0.134598,-0.203402,0.536629,-0.171682,0.172285,0.840921,-0.242040,-0.095649,0.787075,-0.082250,-0.071258,0.780194,-0.206414
5,0.050000,-0.079193,0.795975,-0.326412,-0.142854,0.655687,-0.363885,-0.042763,0.776896,-0.286760,-0.193772,0.632632,-0.132954,-0.202191,0.423857,-0.134637,-0.203622,0.536678,-0.171648,0.172081,0.840988,-0.242054,-0.095812,0.787288,-0.082259,-0.071057,0.780265,-0.206419
