Format Version,1.23,Take Name,H_short_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.48.38.698 ,Total Frames in Take,1591,Total Exported Frames,1591,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10C300","10C300","10C300","10C310","10C310","10C310","10C330","10C330","10C330","10C2C0","10C2C0","10C2C0","10C2E0","10C2E0","10C2E0","10C340","10C340","10C340","10C320","10C320","10C320","10C2B0","10C2B0","10C2B0","10C350","10C350","10C350"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.061029,0.827341,-0.325712,-0.193925,0.750412,-0.365057,-0.043671,0.790685,-0.286646,-0.252986,0.756412,-0.133414,-0.374470,0.587381,-0.139596,-0.314096,0.682991,-0.174184,0.173869,0.849041,-0.237543,-0.097438,0.831964,-0.071811,-0.076368,0.822595,-0.194914
1,0.010000,-0.061065,0.827354,-0.325698,-0.193858,0.750402,-0.365071,-0.043671,0.790685,-0.286646,-0.252977,0.756416,-0.133399,-0.374357,0.587323,-0.139702,-0.314096,0.682991,-0.174184,0.173823,0.849064,-0.237502,-0.097438,0.831964,-0.071811,-0.076368,0.822595,-0.194914
2,0.020000,-0.061129,0.827337,-0.325681,-0.193858,0.750402,-0.365071,-0.043655,0.790681,-0.286640,-0.252986,0.756412,-0.133414,-0.374399,0.587336,-0.139676,-0.314154,0.682979,-0.174227,0.173677,0.849029,-0.237523,-0.097559,0.831940,-0.071865,-0.076368,0.822595,-0.194914
3,0.030000,-0.061002,0.827326,-0.325698,-0.193827,0.750375,-0.365077,-0.043671,0.790685,-0.286646,-0.252986,0.756412,-0.133414,-0.374477,0.587335,-0.139615,-0.314096,0.682991,-0.174184,0.173869,0.849041,-0.237543,-0.097492,0.831961,-0.071846,-0.076293,0.822622,-0.194935
4,0.040000,-0.061029,0.827341,-0.325712,-0.193897,0.750398,-0.365081,-0.043671,0.790685,-0.286646,-0.252977,0.756416,-0.133399,-0.374362,0.587313,-0.139682,-0.314121,0.682993,-0.174210,0.173694,0.849020,-0.237553,-0.097499,0.831958,-0.071826,-0.076404,0.822610,-0.194881
5,0.050000,-0.061101,0.827322,-0.325667,-0.193827,0.750375,-0.365077,-0.043721,0.790669,-0.286660,-0.253012,0.756429,-0.133425,-0.374317,0.587286,-0.139642,-0.314161,0.682957,-0.174203,0.174191,0.849066,-0.237502,-0.097410,0.831970,-0.071817,-0.076368,0.822595,-0.194914
6,0.060000,-0.061029,0.827341,-0.325712,-0.193827,0.750375,-0.365077,-0.043671,0.790685,-0.286646,-0.252986,0.756412,-0.133414,-0.374325,0.587282,-0.139666,-0.314193,0.682982,-0.174180,0.173869,0.849041,-0.237543,-0.097492,0.831961,-0.071846,-0.076236,0.822606,-0.194895
7,0.070000,-0.061101,0.827322,-0.325667,-0.193897,0.750398,-0.365081,-0.043733,0.790712,-0.286636,-0.252986,0.756412,-0.133414,-0.374304,0.587270,-0.139670,-0.314193,0.682982,-0.174180,0.173869,0.849041,-0.237543,-0.097559,0.831940,-0.071865,-0.076368,0.822595,-0.194914
8,0.080000,-0.061080,0.827317,-0.325720,-0.193827,0.750375,-0.365077,-0.043593,0.790653,-0.286651,-0.252928,0.756406,-0.133438,-0.374220,0.587222,-0.139650,-0.314098,0.682952,-0.174225,0.173694,0.849020,-0.237553,-0.097410,0.831970,-0.071817,-0.076236,0.822606,-0.194895
9,0.090000,-0.061101,0.827322,-0.325667,-0.193827,0.750375,-0.365077,-0.043671,0.790685,-0.286646,-0.252986,0.756412,-0.133414,-0.374393,0.587245,-0.139657,-0.314074,0.682949,-0.174200,0.173869,0.849041,-0.237543,-0.097492,0.831961,-0.071846,-0.076293,0.822622,-0.194935
10,0.100000,-0.061029,0.827341,-0.325712,-0.193901,0.750403,-0.365077,-0.043671,0.790685,-0.286646,-0.252986,0.756412,-0.133414,-0.374399,0.587268,-0.139666,-0.314195,0.682944,-0.174220,0.173694,0.849020,-0.237553,-0.097523,0.831979,-0.071861,-0.076299,0.822631,-0.194919
11,0.110000,-0.061029,0.827341,-0.325712,-0.193827,0.750375,-0.365077,-0.043671,0.790685,-0.286646,-0.252986,0.756412,-0.133414,-0.374383,0.587197,-0.139635,-0.314175,0.682927,-0.174247,0.173869,0.849041,-0.237543,-0.097476,0.831951,-0.071836,-0.076293,0.822622,-0.194935
12,0.120000,-0.061092,0.827369,-0.325712,-0.193756,0.750347,-0.365077,-0.043721,0.790669,-0.286660,-0.252986,0.756412,-0.133414,-0.374256,0.587196,-0.139625,-0.314161,0.682957,-0.174203,0.173694,0.849020,-0.237553,-0.097559,0.831940,-0.071865,-0.076236,0.822606,-0.194895
13,0.130000,-0.061108,0.827332,-0.325734,-0.193827,0.750375,-0.365077,-0.043671,0.790685,-0.286646,-0.252986,0.756412,-0.133414,-0.374289,0.587164,-0.139616,-0.314139,0.682920,-0.174189,0.173694,0.849020,-0.237553,-0.097410,0.831970,-0.071817,-0.076404,0.822610,-0.194881
14,0.140000,-0.061002,0.827326,-0.325698,-0.193825,0.750384,-0.365063,-0.043671,0.790685,-0.286646,-0.252938,0.756388,-0.133416,-0.374422,0.587165,-0.139617,-0.314320,0.682912,-0.174183,0.173694,0.849020,-0.237553,-0.097492,0.831961,-0.071846,-0.076368,0.822595,-0.194914
15,0.150000,-0.061029,0.827341,-0.325712,-0.193756,0.750347,-0.365077,-0.043671,0.790685,-0.286646,-0.252938,0.756388,-0.133416,-0.374269,0.587125,-0.139603,-0.314266,0.682915,-0.174210,0.173503,0.849007,-0.237533,-0.097438,0.831964,-0.071811,-0.076422,0.822611,-0.194954
16,0.160000,-0.061192,0.827365,-0.325681,-0.193756,0.750347,-0.365077,-0.043593,0.790653,-0.286651,-0.252876,0.756363,-0.133408,-0.374280,0.587124,-0.139643,-0.314237,0.682913,-0.174247,0.173694,0.849020,-0.237553,-0.097438,0.831964,-0.071811,-0.076368,0.822595,-0.194914
17,0.170000,-0.061029,0.827341,-0.325712,-0.193756,0.750347,-0.365077,-0.043671,0.790685,-0.286646,-0.252876,0.756363,-0.133408,-0.374210,0.587132,-0.139639,-0.314239,0.682850,-0.174243,0.173694,0.849020,-0.237553,-0.097559,0.831940,-0.071865,-0.076498,0.822583,-0.194907
18,0.180000,-0.061002,0.827326,-0.325698,-0.193798,0.750311,-0.365093,-0.043671,0.790685,-0.286646,-0.252937,0.756332,-0.133397,-0.374244,0.587144,-0.139652,-0.314209,0.682855,-0.174241,0.173869,0.849041,-0.237543,-0.097364,0.831970,-0.071763,-0.076404,0.822610,-0.194881
