Format Version,1.23,Take Name,H_superlong_3,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.41.41.773 ,Total Frames in Take,1674,Total Exported Frames,1674,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"107CE0","107CE0","107CE0","107D00","107D00","107D00","107D10","107D10","107D10","107D50","107D50","107D50","107D40","107D40","107D40","107D30","107D30","107D30","107CF0","107CF0","107CF0","107D60","107D60","107D60","107D20","107D20","107D20"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.083525,0.789021,-0.326682,-0.106680,0.635980,-0.362299,-0.042935,0.780731,-0.286719,-0.145658,0.602675,-0.131797,-0.099613,0.397979,-0.131552,-0.130463,0.506715,-0.169772,0.175302,0.835665,-0.247262,-0.086812,0.781068,-0.085905,-0.062085,0.775100,-0.211562
1,0.010000,-0.083511,0.789015,-0.326683,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145446,0.602577,-0.131802,-0.099613,0.397979,-0.131552,-0.130463,0.506715,-0.169772,0.175302,0.835665,-0.247262,-0.086865,0.781079,-0.085863,-0.062186,0.775149,-0.211546
2,0.020000,-0.083511,0.789015,-0.326683,-0.106647,0.635976,-0.362270,-0.042964,0.780748,-0.286733,-0.145638,0.602674,-0.131786,-0.099613,0.397979,-0.131552,-0.130449,0.506686,-0.169801,0.175285,0.835638,-0.247298,-0.086909,0.781107,-0.085892,-0.062025,0.775177,-0.211556
3,0.030000,-0.083597,0.789041,-0.326692,-0.106694,0.635993,-0.362317,-0.042986,0.780757,-0.286708,-0.145701,0.602701,-0.131797,-0.099679,0.398022,-0.131551,-0.130446,0.506696,-0.169785,0.175300,0.835640,-0.247220,-0.087032,0.781140,-0.085844,-0.061977,0.775178,-0.211494
4,0.040000,-0.083432,0.789033,-0.326680,-0.108182,0.635874,-0.362132,-0.042986,0.780757,-0.286708,-0.145600,0.602646,-0.131822,-0.099613,0.397979,-0.131552,-0.130446,0.506696,-0.169785,0.175482,0.835651,-0.247242,-0.086949,0.781207,-0.085847,-0.061867,0.775279,-0.211443
5,0.050000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145451,0.602572,-0.131784,-0.099613,0.397979,-0.131552,-0.130446,0.506696,-0.169785,0.175302,0.835665,-0.247262,-0.087128,0.781291,-0.085802,-0.061838,0.775304,-0.211462
6,0.060000,-0.083521,0.789057,-0.326670,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145503,0.602610,-0.131802,-0.099792,0.398029,-0.131540,-0.130446,0.506696,-0.169785,0.175302,0.835665,-0.247262,-0.087093,0.781284,-0.085767,-0.061811,0.775346,-0.211460
7,0.070000,-0.083599,0.789039,-0.326673,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145640,0.602672,-0.131815,-0.099613,0.397979,-0.131552,-0.130446,0.506696,-0.169785,0.175482,0.835651,-0.247242,-0.087128,0.781297,-0.085760,-0.061912,0.775375,-0.211390
8,0.080000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042935,0.780731,-0.286719,-0.145468,0.602575,-0.131766,-0.099792,0.398029,-0.131540,-0.130446,0.506696,-0.169785,0.175300,0.835640,-0.247220,-0.087401,0.781398,-0.085731,-0.062030,0.775489,-0.211362
9,0.090000,-0.083528,0.789019,-0.326663,-0.108182,0.635874,-0.362132,-0.042835,0.780731,-0.286751,-0.145625,0.602666,-0.131787,-0.099792,0.398029,-0.131540,-0.130463,0.506715,-0.169772,0.175605,0.835624,-0.247115,-0.087350,0.781395,-0.085684,-0.062059,0.775496,-0.211343
