Format Version,1.23,Take Name,MVC_110_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 02.48.57.262 ,Total Frames in Take,1409,Total Exported Frames,1409,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"F9150","F9150","F9150","F9210","F9210","F9210","F87E0","F87E0","F87E0","F8700","F8700","F8700","F89A0","F89A0","F89A0","F90C0","F90C0","F90C0","F9170","F9170","F9170","F8EF0","F8EF0","F8EF0","F8620","F8620","F8620"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.080376,0.780363,-0.318555,-0.075449,0.625465,-0.354212,-0.038183,0.779780,-0.280515,-0.099396,0.584662,-0.121247,-0.011160,0.394916,-0.124575,-0.065775,0.493742,-0.160587,0.170751,0.846865,-0.237701,-0.080699,0.780362,-0.070364,-0.066163,0.782117,-0.199345
1,0.010000,-0.080395,0.780369,-0.318582,-0.075420,0.625473,-0.354182,-0.038132,0.779760,-0.280530,-0.099396,0.584662,-0.121247,-0.011160,0.394916,-0.124575,-0.065766,0.493749,-0.160569,0.170731,0.846837,-0.237687,-0.080531,0.780348,-0.070382,-0.066183,0.782119,-0.199335
2,0.020000,-0.080378,0.780353,-0.318598,-0.075356,0.625454,-0.354167,-0.038137,0.779758,-0.280510,-0.099361,0.584649,-0.121264,-0.011029,0.394911,-0.124588,-0.065775,0.493742,-0.160587,0.171225,0.846816,-0.237631,-0.080757,0.780386,-0.070355,-0.066223,0.782089,-0.199322
3,0.030000,-0.080376,0.780363,-0.318555,-0.075392,0.625459,-0.354191,-0.038282,0.779769,-0.280530,-0.099361,0.584649,-0.121264,-0.011042,0.394899,-0.124541,-0.065709,0.493719,-0.160567,0.171001,0.846838,-0.237650,-0.080595,0.780376,-0.070383,-0.066233,0.782157,-0.199318
4,0.040000,-0.080391,0.780355,-0.318523,-0.075336,0.625435,-0.354170,-0.038189,0.779778,-0.280495,-0.099396,0.584662,-0.121247,-0.011060,0.394860,-0.124568,-0.065725,0.493720,-0.160556,0.170707,0.846901,-0.237635,-0.080595,0.780376,-0.070383,-0.066120,0.782160,-0.199346
5,0.050000,-0.080282,0.780364,-0.318587,-0.075497,0.625472,-0.354113,-0.038183,0.779780,-0.280515,-0.099361,0.584649,-0.121264,-0.011060,0.394860,-0.124568,-0.065669,0.493689,-0.160554,0.170751,0.846865,-0.237701,-0.080595,0.780376,-0.070383,-0.066122,0.782159,-0.199335
