Format Version,1.23,Take Name,SH_short_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.55.44.087 ,Total Frames in Take,1556,Total Exported Frames,1556,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10C300","10C300","10C300","10C310","10C310","10C310","10C330","10C330","10C330","10C2C0","10C2C0","10C2C0","10C360","10C360","10C360","10C340","10C340","10C340","10C320","10C320","10C320","10C2B0","10C2B0","10C2B0","10C350","10C350","10C350"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.050928,0.830776,-0.325372,-0.198367,0.789989,-0.365052,-0.043744,0.790674,-0.286628,-0.254056,0.808937,-0.133236,-0.415710,0.676179,-0.140427,-0.332276,0.753526,-0.174468,0.172624,0.851396,-0.235771,-0.092949,0.841263,-0.068697,-0.074951,0.830352,-0.190492
1,0.010000,-0.050928,0.830776,-0.325372,-0.198324,0.789994,-0.365028,-0.043744,0.790674,-0.286628,-0.254017,0.808960,-0.133250,-0.415675,0.676198,-0.140485,-0.332369,0.753565,-0.174473,0.172854,0.851333,-0.235692,-0.092962,0.841252,-0.068701,-0.074954,0.830360,-0.190437
2,0.020000,-0.050928,0.830776,-0.325372,-0.198394,0.789995,-0.364995,-0.043744,0.790674,-0.286628,-0.254010,0.808949,-0.133253,-0.415788,0.676227,-0.140469,-0.332329,0.753545,-0.174479,0.172854,0.851333,-0.235692,-0.092975,0.841263,-0.068718,-0.074769,0.830311,-0.190363
3,0.030000,-0.050881,0.830774,-0.325350,-0.198322,0.790013,-0.364992,-0.043782,0.790694,-0.286639,-0.253966,0.808938,-0.133209,-0.415873,0.676310,-0.140493,-0.332290,0.753556,-0.174500,0.172759,0.851283,-0.235654,-0.093017,0.841191,-0.068704,-0.074744,0.830316,-0.190321
4,0.040000,-0.050918,0.830737,-0.325367,-0.198394,0.789995,-0.364995,-0.043782,0.790694,-0.286639,-0.253969,0.808906,-0.133240,-0.415941,0.676344,-0.140505,-0.332329,0.753545,-0.174479,0.172499,0.851295,-0.235702,-0.093243,0.841134,-0.068708,-0.074538,0.830258,-0.190247
5,0.050000,-0.050928,0.830776,-0.325372,-0.198439,0.790023,-0.365018,-0.043763,0.790658,-0.286662,-0.253970,0.808882,-0.133206,-0.415882,0.676378,-0.140497,-0.332424,0.753593,-0.174476,0.172675,0.851312,-0.235685,-0.093400,0.841007,-0.068661,-0.074513,0.830157,-0.190184
6,0.060000,-0.050928,0.830776,-0.325372,-0.198326,0.790001,-0.365067,-0.043744,0.790674,-0.286628,-0.253884,0.808844,-0.133214,-0.415849,0.676395,-0.140555,-0.332468,0.753648,-0.174503,0.172759,0.851283,-0.235654,-0.093564,0.840893,-0.068626,-0.074761,0.830130,-0.190106
7,0.070000,-0.050928,0.830776,-0.325372,-0.198397,0.790002,-0.365034,-0.043744,0.790674,-0.286628,-0.253880,0.808759,-0.133179,-0.415765,0.676385,-0.140584,-0.332457,0.753699,-0.174531,0.172759,0.851283,-0.235654,-0.093747,0.840654,-0.068625,-0.074367,0.829966,-0.190010
8,0.080000,-0.050928,0.830776,-0.325372,-0.198397,0.790002,-0.365034,-0.043744,0.790674,-0.286628,-0.253667,0.808666,-0.133196,-0.415683,0.676377,-0.140590,-0.332417,0.753679,-0.174538,0.172759,0.851283,-0.235654,-0.093765,0.840458,-0.068531,-0.073696,0.829644,-0.189862
9,0.090000,-0.050928,0.830776,-0.325372,-0.198254,0.790018,-0.365065,-0.043782,0.790694,-0.286639,-0.253596,0.808602,-0.133213,-0.415668,0.676571,-0.140555,-0.332457,0.753699,-0.174531,0.172759,0.851283,-0.235654,-0.093279,0.840111,-0.068486,-0.073782,0.829495,-0.189740
10,0.100000,-0.050928,0.830776,-0.325372,-0.198397,0.790002,-0.365034,-0.043744,0.790674,-0.286628,-0.253481,0.808559,-0.133188,-0.415684,0.676662,-0.140585,-0.332527,0.753745,-0.174531,0.172940,0.851222,-0.235632,-0.093059,0.839768,-0.068359,-0.073730,0.829239,-0.189563
11,0.110000,-0.050962,0.830796,-0.325359,-0.198324,0.789994,-0.365028,-0.043814,0.790695,-0.286657,-0.253334,0.808445,-0.133141,-0.415962,0.677007,-0.140670,-0.332297,0.753826,-0.174537,0.172819,0.851183,-0.235599,-0.092778,0.839463,-0.068269,-0.074029,0.829032,-0.189523
12,0.120000,-0.051000,0.830758,-0.325376,-0.198422,0.790012,-0.365005,-0.043776,0.790674,-0.286646,-0.253205,0.808328,-0.133130,-0.416115,0.677224,-0.140665,-0.332434,0.753892,-0.174539,0.172685,0.851086,-0.235568,-0.092472,0.839115,-0.068161,-0.074319,0.828750,-0.189247
13,0.130000,-0.050955,0.830748,-0.325335,-0.198397,0.790002,-0.365034,-0.043744,0.790674,-0.286628,-0.253163,0.808307,-0.133135,-0.416348,0.677393,-0.140694,-0.332449,0.753904,-0.174551,0.172685,0.851086,-0.235568,-0.092450,0.838955,-0.068039,-0.074278,0.828414,-0.189228
14,0.140000,-0.050928,0.830776,-0.325372,-0.198422,0.790012,-0.365005,-0.043782,0.790694,-0.286639,-0.253181,0.808182,-0.133099,-0.416644,0.677619,-0.140718,-0.332444,0.753920,-0.174572,0.172685,0.851086,-0.235568,-0.091930,0.838521,-0.068041,-0.074179,0.828010,-0.189034
15,0.150000,-0.050928,0.830776,-0.325372,-0.198422,0.790012,-0.365005,-0.043814,0.790695,-0.286657,-0.252895,0.808014,-0.133066,-0.416822,0.677798,-0.140679,-0.332413,0.753933,-0.174555,0.172316,0.851064,-0.235521,-0.092003,0.838096,-0.067997,-0.074112,0.827745,-0.188960
