Format Version,1.23,Take Name,SH_superlong_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.36.32.780 ,Total Frames in Take,1692,Total Exported Frames,1692,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"107C10","107C10","107C10","107C30","107C30","107C30","107C00","107C00","107C00","107C50","107C50","107C50","107C20","107C20","107C20","107C40","107C40","107C40","107BF0","107BF0","107BF0","107BB0","107BB0","107BB0","107BC0","107BC0","107BC0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.080431,0.799259,-0.326489,-0.141160,0.657554,-0.363712,-0.043001,0.780703,-0.286828,-0.188945,0.633643,-0.132679,-0.196673,0.424534,-0.134855,-0.198294,0.537461,-0.171493,0.173232,0.843067,-0.241605,-0.091602,0.791367,-0.077246,-0.069034,0.786388,-0.202122
1,0.010000,-0.080505,0.799294,-0.326440,-0.141088,0.657532,-0.363701,-0.043015,0.780685,-0.286824,-0.188913,0.633631,-0.132694,-0.196687,0.424552,-0.134843,-0.198278,0.537451,-0.171556,0.173232,0.843067,-0.241605,-0.091423,0.791381,-0.077227,-0.069107,0.786418,-0.202121
2,0.020000,-0.080511,0.799259,-0.326470,-0.141230,0.657553,-0.363729,-0.043072,0.780670,-0.286834,-0.188981,0.633660,-0.132666,-0.196673,0.424534,-0.134855,-0.198555,0.537478,-0.171529,0.173232,0.843067,-0.241605,-0.091714,0.791354,-0.077272,-0.069125,0.786410,-0.202116
3,0.030000,-0.080559,0.799260,-0.326439,-0.141206,0.657568,-0.363709,-0.042962,0.780702,-0.286810,-0.189048,0.633687,-0.132681,-0.196646,0.424537,-0.134827,-0.198333,0.537435,-0.171557,0.173232,0.843067,-0.241605,-0.091423,0.791381,-0.077227,-0.069125,0.786410,-0.202116
4,0.040000,-0.080382,0.799314,-0.326449,-0.141088,0.657532,-0.363701,-0.043053,0.780709,-0.286808,-0.188945,0.633643,-0.132679,-0.196727,0.424570,-0.134850,-0.198316,0.537441,-0.171585,0.173232,0.843067,-0.241605,-0.091419,0.791385,-0.077244,-0.069103,0.786407,-0.202136
5,0.050000,-0.080465,0.799273,-0.326429,-0.141088,0.657532,-0.363701,-0.043015,0.780685,-0.286824,-0.188945,0.633643,-0.132679,-0.196687,0.424552,-0.134843,-0.198426,0.537477,-0.171524,0.173232,0.843067,-0.241605,-0.091419,0.791385,-0.077244,-0.069129,0.786421,-0.202101
